"";"grad";"temp";"vrijeme"
"1";"Božava";NA;2017-02-28 06:00:00
"2";"Crikvenica";9,5;2017-02-28 06:00:00
"3";"Dubrovnik";14;2017-02-28 06:00:00
"4";"Hvar";NA;2017-02-28 06:00:00
"5";"Komiža";NA;2017-02-28 06:00:00
"6";"Krk";NA;2017-02-28 06:00:00
"7";"Malinska";10;2017-02-28 06:00:00
"8";"Mali Lošinj";11,7;2017-02-28 06:00:00
"9";"Pula";NA;2017-02-28 06:00:00
"10";"Rab";NA;2017-02-28 06:00:00
"11";"Rovinj-Sv.Ivan n/p";NA;2017-02-28 06:00:00
"12";"Split";NA;2017-02-28 06:00:00
"13";"Šibenik";NA;2017-02-28 06:00:00
"14";"Božava";11;2017-02-28 07:00:00
"15";"Crikvenica";9,5;2017-02-28 07:00:00
"16";"Dubrovnik";14,1;2017-02-28 07:00:00
"17";"Hvar";14;2017-02-28 07:00:00
"18";"Komiža";14;2017-02-28 07:00:00
"19";"Krk";10;2017-02-28 07:00:00
"20";"Malinska";10,1;2017-02-28 07:00:00
"21";"Mali Lošinj";11,7;2017-02-28 07:00:00
"22";"Pula";11;2017-02-28 07:00:00
"23";"Rab";10;2017-02-28 07:00:00
"24";"Rovinj-Sv.Ivan n/p";10;2017-02-28 07:00:00
"25";"Split";12;2017-02-28 07:00:00
"26";"Šibenik";12;2017-02-28 07:00:00
"27";"Božava";NA;2017-02-28 10:00:00
"28";"Crikvenica";9,4;2017-02-28 10:00:00
"29";"Dubrovnik";14;2017-02-28 10:00:00
"30";"Hvar";NA;2017-02-28 10:00:00
"31";"Komiža";NA;2017-02-28 10:00:00
"32";"Krk";NA;2017-02-28 10:00:00
"33";"Malinska";10,2;2017-02-28 10:00:00
"34";"Mali Lošinj";11,7;2017-02-28 10:00:00
"35";"Pula";NA;2017-02-28 10:00:00
"36";"Rab";NA;2017-02-28 10:00:00
"37";"Rovinj-Sv.Ivan n/p";NA;2017-02-28 10:00:00
"38";"Split";NA;2017-02-28 10:00:00
"39";"Šibenik";NA;2017-02-28 10:00:00
"40";"Božava";12;2017-02-28 13:00:00
"41";"Crikvenica";9,6;2017-02-28 13:00:00
"42";"Dubrovnik";14,3;2017-02-28 13:00:00
"43";"Hvar";14;2017-02-28 13:00:00
"44";"Komiža";15;2017-02-28 13:00:00
"45";"Krk";11;2017-02-28 13:00:00
"46";"Malinska";10,2;2017-02-28 13:00:00
"47";"Mali Lošinj";11,9;2017-02-28 13:00:00
"48";"Pula";NA;2017-02-28 13:00:00
"49";"Rab";NA;2017-02-28 13:00:00
"50";"Rovinj-Sv.Ivan n/p";NA;2017-02-28 13:00:00
"51";"Split";13;2017-02-28 13:00:00
"52";"Šibenik";NA;2017-02-28 13:00:00
"53";"Božava";NA;2017-02-28 14:00:00
"54";"Crikvenica";9,5;2017-02-28 14:00:00
"55";"Dubrovnik";14,3;2017-02-28 14:00:00
"56";"Hvar";14;2017-02-28 14:00:00
"57";"Komiža";NA;2017-02-28 14:00:00
"58";"Krk";NA;2017-02-28 14:00:00
"59";"Malinska";10,3;2017-02-28 14:00:00
"60";"Mali Lošinj";12;2017-02-28 14:00:00
"61";"Pula";NA;2017-02-28 14:00:00
"62";"Rab";NA;2017-02-28 14:00:00
"63";"Rovinj-Sv.Ivan n/p";NA;2017-02-28 14:00:00
"64";"Split";NA;2017-02-28 14:00:00
"65";"Šibenik";NA;2017-02-28 14:00:00
"66";"Božava";NA;2017-02-28 16:00:00
"67";"Crikvenica";9,4;2017-02-28 16:00:00
"68";"Dubrovnik";14,3;2017-02-28 16:00:00
"69";"Hvar";NA;2017-02-28 16:00:00
"70";"Komiža";NA;2017-02-28 16:00:00
"71";"Krk";NA;2017-02-28 16:00:00
"72";"Malinska";10,3;2017-02-28 16:00:00
"73";"Mali Lošinj";11,9;2017-02-28 16:00:00
"74";"Pula";NA;2017-02-28 16:00:00
"75";"Rab";NA;2017-02-28 16:00:00
"76";"Rovinj-Sv.Ivan n/p";NA;2017-02-28 16:00:00
"77";"Split";NA;2017-02-28 16:00:00
"78";"Šibenik";NA;2017-02-28 16:00:00
