sep=;
"grad";"temp";"vrijeme"
"Božava";22;2017-06-10 06:00:00
"Crikvenica";21,1;2017-06-10 06:00:00
"Dubrovnik";22,3;2017-06-10 06:00:00
"Hvar";NA;2017-06-10 06:00:00
"Komiža";NA;2017-06-10 06:00:00
"Krk";NA;2017-06-10 06:00:00
"Malinska";21,3;2017-06-10 06:00:00
"Mali Lošinj";20,9;2017-06-10 06:00:00
"Pula";NA;2017-06-10 06:00:00
"Rab";NA;2017-06-10 06:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-10 06:00:00
"Split";NA;2017-06-10 06:00:00
"Šibenik";NA;2017-06-10 06:00:00
"Zadar";19,9;2017-06-10 06:00:00
"Božava";NA;2017-06-10 07:00:00
"Crikvenica";21,1;2017-06-10 07:00:00
"Dubrovnik";22,4;2017-06-10 07:00:00
"Hvar";22;2017-06-10 07:00:00
"Komiža";22;2017-06-10 07:00:00
"Krk";21;2017-06-10 07:00:00
"Malinska";21,1;2017-06-10 07:00:00
"Mali Lošinj";20,8;2017-06-10 07:00:00
"Pula";23;2017-06-10 07:00:00
"Rab";22;2017-06-10 07:00:00
"Rovinj-Sv.Ivan n/p";23;2017-06-10 07:00:00
"Split";22;2017-06-10 07:00:00
"Šibenik";22;2017-06-10 07:00:00
"Zadar";20;2017-06-10 07:00:00
"Božava";NA;2017-06-10 10:00:00
"Crikvenica";21,5;2017-06-10 10:00:00
"Dubrovnik";22,2;2017-06-10 10:00:00
"Hvar";NA;2017-06-10 10:00:00
"Komiža";NA;2017-06-10 10:00:00
"Krk";NA;2017-06-10 10:00:00
"Malinska";21,4;2017-06-10 10:00:00
"Mali Lošinj";20,9;2017-06-10 10:00:00
"Pula";NA;2017-06-10 10:00:00
"Rab";NA;2017-06-10 10:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-10 10:00:00
"Split";NA;2017-06-10 10:00:00
"Šibenik";NA;2017-06-10 10:00:00
"Zadar";20,8;2017-06-10 10:00:00
"Božava";23;2017-06-10 13:00:00
"Crikvenica";21,7;2017-06-10 13:00:00
"Dubrovnik";23;2017-06-10 13:00:00
"Hvar";23;2017-06-10 13:00:00
"Komiža";22;2017-06-10 13:00:00
"Krk";21;2017-06-10 13:00:00
"Malinska";21,4;2017-06-10 13:00:00
"Mali Lošinj";21,5;2017-06-10 13:00:00
"Pula";NA;2017-06-10 13:00:00
"Rab";23;2017-06-10 13:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-10 13:00:00
"Split";23;2017-06-10 13:00:00
"Šibenik";NA;2017-06-10 13:00:00
"Zadar";20,8;2017-06-10 13:00:00
"Božava";NA;2017-06-10 14:00:00
"Crikvenica";22;2017-06-10 14:00:00
"Dubrovnik";23,1;2017-06-10 14:00:00
"Hvar";NA;2017-06-10 14:00:00
"Komiža";NA;2017-06-10 14:00:00
"Krk";NA;2017-06-10 14:00:00
"Malinska";21,5;2017-06-10 14:00:00
"Mali Lošinj";22;2017-06-10 14:00:00
"Pula";NA;2017-06-10 14:00:00
"Rab";NA;2017-06-10 14:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-10 14:00:00
"Split";NA;2017-06-10 14:00:00
"Šibenik";NA;2017-06-10 14:00:00
"Zadar";20,9;2017-06-10 14:00:00
"Božava";NA;2017-06-10 16:00:00
"Crikvenica";22,5;2017-06-10 16:00:00
"Dubrovnik";23,4;2017-06-10 16:00:00
"Hvar";NA;2017-06-10 16:00:00
"Komiža";NA;2017-06-10 16:00:00
"Krk";NA;2017-06-10 16:00:00
"Malinska";21,8;2017-06-10 16:00:00
"Mali Lošinj";22,4;2017-06-10 16:00:00
"Pula";NA;2017-06-10 16:00:00
"Rab";NA;2017-06-10 16:00:00
"Rovinj-Sv.Ivan n/p";NA;2017-06-10 16:00:00
"Split";NA;2017-06-10 16:00:00
"Šibenik";NA;2017-06-10 16:00:00
"Zadar";21;2017-06-10 16:00:00
